image_path,breed,breed_id,split,image_width,image_height,bbox_x,bbox_y,bbox_width,bbox_height,source_dataset
Images/n02085620-Chihuahua/n02085620_10074.jpg,Chihuahua,n02085620-Chihuahua,test,333,500,25,10,251,488,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_10131.jpg,Chihuahua,n02085620-Chihuahua,test,395,495,49,9,344,484,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_10621.jpg,Chihuahua,n02085620-Chihuahua,train,500,298,142,43,193,207,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1073.jpg,Chihuahua,n02085620-Chihuahua,test,345,500,0,27,312,471,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_10976.jpg,Chihuahua,n02085620-Chihuahua,train,322,484,90,104,152,348,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_11140.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,17,38,434,215,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_11238.jpg,Chihuahua,n02085620-Chihuahua,train,382,384,39,191,106,192,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_11258.jpg,Chihuahua,n02085620-Chihuahua,train,375,500,76,30,287,345,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_11337.jpg,Chihuahua,n02085620-Chihuahua,test,300,225,59,37,170,142,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_11477.jpg,Chihuahua,n02085620-Chihuahua,test,887,629,317,95,241,364,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1152.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,3,81,153,144,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_11696.jpg,Chihuahua,n02085620-Chihuahua,test,800,600,211,0,485,516,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_11818.jpg,Chihuahua,n02085620-Chihuahua,test,375,500,121,90,181,253,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_11948.jpg,Chihuahua,n02085620-Chihuahua,train,500,464,0,16,461,420,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1205.jpg,Chihuahua,n02085620-Chihuahua,test,500,375,146,0,204,239,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_12101.jpg,Chihuahua,n02085620-Chihuahua,train,380,253,5,4,345,248,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_12334.jpg,Chihuahua,n02085620-Chihuahua,train,299,415,159,186,91,144,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1235.jpg,Chihuahua,n02085620-Chihuahua,test,500,375,194,111,81,188,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1271.jpg,Chihuahua,n02085620-Chihuahua,test,360,351,19,3,305,347,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_12718.jpg,Chihuahua,n02085620-Chihuahua,test,333,500,26,42,278,445,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1298.jpg,Chihuahua,n02085620-Chihuahua,train,480,333,151,94,287,136,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_13151.jpg,Chihuahua,n02085620-Chihuahua,train,500,336,176,29,203,304,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1321.jpg,Chihuahua,n02085620-Chihuahua,test,500,333,111,42,137,272,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_13383.jpg,Chihuahua,n02085620-Chihuahua,test,493,500,156,242,178,256,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1346.jpg,Chihuahua,n02085620-Chihuahua,train,450,320,1,8,431,308,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_13964.jpg,Chihuahua,n02085620-Chihuahua,test,375,500,96,133,277,362,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_14252.jpg,Chihuahua,n02085620-Chihuahua,test,448,336,166,110,180,138,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_14413.jpg,Chihuahua,n02085620-Chihuahua,train,640,853,142,123,404,727,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_14516.jpg,Chihuahua,n02085620-Chihuahua,train,640,480,51,2,436,476,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1455.jpg,Chihuahua,n02085620-Chihuahua,train,333,500,60,153,271,345,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1492.jpg,Chihuahua,n02085620-Chihuahua,test,500,333,58,143,132,189,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1502.jpg,Chihuahua,n02085620-Chihuahua,train,500,333,51,13,367,318,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1558.jpg,Chihuahua,n02085620-Chihuahua,train,366,500,0,6,327,487,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1569.jpg,Chihuahua,n02085620-Chihuahua,train,278,274,24,10,253,263,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1617.jpg,Chihuahua,n02085620-Chihuahua,train,357,238,2,6,354,231,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1620.jpg,Chihuahua,n02085620-Chihuahua,test,500,375,25,0,440,374,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1765.jpg,Chihuahua,n02085620-Chihuahua,test,391,500,55,85,272,352,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1816.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,0,14,225,311,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1862.jpg,Chihuahua,n02085620-Chihuahua,test,375,500,152,107,76,140,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_1916.jpg,Chihuahua,n02085620-Chihuahua,train,500,495,8,7,448,390,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_199.jpg,Chihuahua,n02085620-Chihuahua,train,300,430,65,50,184,354,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2053.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,176,73,265,293,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2188.jpg,Chihuahua,n02085620-Chihuahua,test,375,500,46,98,281,400,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2204.jpg,Chihuahua,n02085620-Chihuahua,test,500,337,267,76,83,147,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2208.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,178,144,53,105,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_242.jpg,Chihuahua,n02085620-Chihuahua,train,400,500,113,45,255,441,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2479.jpg,Chihuahua,n02085620-Chihuahua,train,330,251,40,16,220,223,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2507.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,79,35,245,287,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2517.jpg,Chihuahua,n02085620-Chihuahua,test,500,375,125,26,247,288,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2590.jpg,Chihuahua,n02085620-Chihuahua,test,448,336,201,88,216,151,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2614.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,123,2,182,372,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2650.jpg,Chihuahua,n02085620-Chihuahua,test,500,333,108,87,297,216,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2693.jpg,Chihuahua,n02085620-Chihuahua,train,500,500,188,140,137,167,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2706.jpg,Chihuahua,n02085620-Chihuahua,train,320,240,105,39,124,178,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_275.jpg,Chihuahua,n02085620-Chihuahua,train,500,333,179,53,147,138,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2793.jpg,Chihuahua,n02085620-Chihuahua,train,352,288,23,0,328,287,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2815.jpg,Chihuahua,n02085620-Chihuahua,test,500,600,60,6,435,591,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2887.jpg,Chihuahua,n02085620-Chihuahua,train,345,360,16,23,273,332,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2903.jpg,Chihuahua,n02085620-Chihuahua,train,500,333,210,57,258,275,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2921.jpg,Chihuahua,n02085620-Chihuahua,train,250,238,30,15,172,209,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2937.jpg,Chihuahua,n02085620-Chihuahua,test,360,273,121,28,135,164,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2973.jpg,Chihuahua,n02085620-Chihuahua,train,375,500,71,78,249,372,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_2981.jpg,Chihuahua,n02085620-Chihuahua,train,600,607,399,314,163,211,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3006.jpg,Chihuahua,n02085620-Chihuahua,test,369,500,86,42,270,450,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3033.jpg,Chihuahua,n02085620-Chihuahua,test,500,375,164,137,292,198,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3045.jpg,Chihuahua,n02085620-Chihuahua,test,445,500,101,106,217,237,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3093.jpg,Chihuahua,n02085620-Chihuahua,train,375,500,155,183,165,244,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3110.jpg,Chihuahua,n02085620-Chihuahua,train,450,338,98,32,187,226,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3208.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,100,21,351,353,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_326.jpg,Chihuahua,n02085620-Chihuahua,train,333,500,0,66,264,404,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3402.jpg,Chihuahua,n02085620-Chihuahua,test,500,375,155,117,311,180,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3407.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,0,14,478,290,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3409.jpg,Chihuahua,n02085620-Chihuahua,test,500,333,2,1,387,330,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3423.jpg,Chihuahua,n02085620-Chihuahua,train,200,262,27,27,147,169,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3485.jpg,Chihuahua,n02085620-Chihuahua,test,320,319,25,9,257,306,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3488.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,78,67,346,259,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3593.jpg,Chihuahua,n02085620-Chihuahua,train,200,229,2,7,197,220,Stanford Dogs
Images/n02085620-Chihuahua/n02085620_3651.jpg,Chihuahua,n02085620-Chihuahua,train,500,375,152,216,123,154,Stanford Dogs
