image_id,source_dataset,source_path,perceptual_hash,duplicate_group_id,source_label,pawphile_condition_label,pawphile_finding_label,label_type,label_quality,clinical_validation,split,body_region,dog_id,tier,exclusion_reason
8fb0d622-d1b2-4785-baa7-4239d1b1e55a,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\valid\Dermatitis\1516253873174_x4_jpg.rf.36256399fc9101db47ce29633c8dc69e.jpg,671,0030fe4a-1511-4465-83b4-f245042e36f5,Dermatitis,nonspecific dermatitis,"[""erythema"", ""scaling""]",disease-level (provisional),research-only,unsupported,valid,skin,unknown,C,
1af4e288-e243-4ec3-960e-8c103b9bae3e,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\bacterial dermatosis\bacterial_197_jpg.rf.256ae9a7303f16b91c5fe905e44a822a.jpg,671,0030fe4a-1511-4465-83b4-f245042e36f5,bacterial dermatosis,bacterial dermatosis,"[""erythema"", ""pustule"", ""crust""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
9755e642-5414-4cf4-bd06-ceea9c3fbb5b,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\train\bacterial dermatosis\bacterial_197_jpg.rf.77d6b0c30b4d34f66c4036a85a4ea75f.jpg,671,0030fe4a-1511-4465-83b4-f245042e36f5,bacterial dermatosis,bacterial dermatosis,"[""erythema"", ""pustule"", ""crust""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
58cb4087-7fe5-47a5-b509-ea1929d7d43b,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\demodicosis\P27_png_jpg.rf.75485fcfc8ba1255cea408b2fc3dc54c.jpg,671,0030fe4a-1511-4465-83b4-f245042e36f5,demodicosis,demodicosis,"[""alopecia"", ""erythema"", ""crust""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
069271e7-faac-41a6-b091-59096c81d70e,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\train\Dermatitis\hotspot-55-_jpg.rf.cf5ae4a63ec16e0c826abc6a96fd624f.jpg,671,0030fe4a-1511-4465-83b4-f245042e36f5,Dermatitis,nonspecific dermatitis,"[""erythema"", ""scaling""]",disease-level (provisional),research-only,unsupported,train,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
ae759337-5b79-403f-870a-7c37d48b5a41,Multispectral,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Classification of pet dog skin diseases using deep learning with images captured from multispectral imaging device\5dbht54kw7-1\dog210508_07_02_22\pic3.jpg,671,0030fe4a-1511-4465-83b4-f245042e36f5,unknown,unknown,[],disease-level (provisional),research-only,unsupported,none,skin,pic3.jpg,D,Perceptual Duplicate / Augmentation Leakage
689e1930-cc35-471a-bcce-689952397cf0,Roboflow,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\Dog Skin Disease Dataset.v2i.folder\valid\hypersensitivity dermatitis\hypersensitivity_226_jpg.rf.f26a646bee537bbc9a6d0a6f26b05f71.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,hypersensitivity dermatitis,hypersensitivity / allergic dermatitis,"[""erythema"", ""lichenification""]",disease-level (provisional),research-only,unsupported,valid,skin,unknown,C,
c0984b66-c0c1-4424-9f8a-e4aad36ea681,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\valid\Healthy\pic2_jpg.rf.7f647b24bfbca1cba094fe8c442ed6f3.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,Healthy,healthy,[],disease-level (provisional),research-only,unsupported,valid,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
a885c817-73a7-46d7-a863-c52c6467c868,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\valid\ringworm\ringworm-113-_jpg.rf.0b6d278b5b3348e3f6d039e5498f16c2.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,valid,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
3ff8d329-5a35-483d-a1f1-188e2170457f,Kaggle,C:\Users\ESSAKKI RAJA T  EV\OneDrive\Desktop\DB PAWPHILE\archive\valid\ringworm\ringworm-145-_jpg.rf.b92e6b4b473440f36f70962b7c92a00d.jpg,580,00914b59-9a05-4f86-b681-d763cde2d218,ringworm,fungal infection,"[""alopecia"", ""scaling""]",disease-level (provisional),research-only,unsupported,valid,skin,unknown,D,Perceptual Duplicate / Augmentation Leakage
